year,crime_count,city,crimes_per_100k
2001,482842,Chicago,17905.9
2002,471502,Chicago,17485.3
2003,471999,Chicago,17503.8
2004,467194,Chicago,17325.6
2005,449922,Chicago,16685.1
2006,445540,Chicago,16522.6
2007,435689,Chicago,16157.2
2008,419853,Chicago,15570.0
2009,385929,Chicago,14311.9
2010,369924,Chicago,13718.4
2011,351247,Chicago,13025.8
2012,335424,Chicago,12439.0
2013,306375,Chicago,11361.7
2014,273733,Chicago,10151.2
2015,257879,Chicago,9563.3
2016,267202,Chicago,9909.0
2017,264883,Chicago,9823.0
2018,263479,Chicago,9770.9
2019,258951,Chicago,9603.0
2020,151025,Chicago,5600.7
2021,1103,Chicago,40.9
2022,3367,Chicago,124.9
2023,88882,Chicago,3296.1
2024,92416,Chicago,3427.2
2008,46517,Seattle,6309.5
2009,47991,Seattle,6509.4
2010,46101,Seattle,6253.1
2011,43571,Seattle,5909.9
2012,43580,Seattle,5911.1
2013,47502,Seattle,6443.1
2014,51571,Seattle,6995.0
2015,50618,Seattle,6865.7
2016,51759,Seattle,7020.5
2017,67232,Seattle,9119.2
2018,68628,Seattle,9308.6
2019,62372,Seattle,8460.0
2020,68456,Seattle,9285.3
2021,62502,Seattle,8477.7
2022,66102,Seattle,8966.0
2023,61765,Seattle,8377.7
2024,61912,Seattle,8397.6
2025,57083,Seattle,7742.6
